,gameId,playId,nflId,motionSinceLineset,inMotionAtBallSnap,wasRunningRoute,wasTargettedReceiver,down,yardsToGo,offenseFormation,receiverAlignment,pff_passCoverage,absoluteYardlineNumber,y,topOfLine,bottomOfLine,position,Unnamed: 0,safetyTop,safetyBottom
55,2022100901,1852,42489,False,False,1.0,1,1,10,SHOTGUN,3x1,Cover-3,69,17.79,33.64,26.75,WR,9147.0,1.0,1.0
56,2022100901,1943,42489,True,True,1.0,0,3,5,SHOTGUN,3x1,Bracket,86,15.97,33.53,26.87,WR,9150.0,2.0,0.0
57,2022100901,2618,42489,False,False,1.0,1,2,5,SHOTGUN,2x1,Cover-1,39,39.43,33.16,26.23,WR,9164.0,1.0,1.0
58,2022100901,2727,42489,False,False,1.0,0,1,1,SHOTGUN,2x1,Cover-0,11,12.52,28.44,23.43,WR,9165.0,1.0,1.0
59,2022101610,55,42489,False,False,1.0,0,1,10,SHOTGUN,3x1,Cover-2,85,35.12,27.86,20.07,WR,9713.0,1.0,1.0
60,2022101610,129,42489,True,True,1.0,0,2,1,I_FORM,3x1,Cover-2,55,16.5,32.97,24.45,WR,9716.0,1.0,1.0
61,2022101610,701,42489,True,True,1.0,1,1,10,SINGLEBACK,2x2,Cover-3 Seam,90,16.31,34.75,26.24,WR,9736.0,1.0,1.0
62,2022101610,731,42489,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover-2,59,43.78,27.24,8.55,WR,9737.0,1.0,1.0
63,2022101610,807,42489,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover-2,46,35.81,27.01,20.42,WR,9740.0,1.0,1.0
64,2022101610,904,42489,False,False,1.0,0,1,13,SHOTGUN,2x2,Quarters,85,18.37,33.54,26.69,WR,9743.0,2.0,0.0
65,2022101610,1327,42489,True,True,1.0,1,2,4,SHOTGUN,2x2,Cover-2,53,41.06,33.52,18.59,WR,9756.0,1.0,1.0
66,2022101610,1448,42489,False,False,1.0,0,2,3,SHOTGUN,3x1,Cover-0,107,40.28,26.86,20.42,WR,9760.0,2.0,0.0
67,2022101610,1470,42489,True,True,1.0,0,3,3,SHOTGUN,2x2,Cover-0,107,13.27,27.39,20.5,WR,9761.0,1.0,1.0
68,2022101610,1607,42489,False,False,1.0,0,1,10,EMPTY,3x2,Quarters,41,32.16,36.46,20.61,WR,9766.0,1.0,1.0
69,2022101610,1650,42489,False,False,1.0,0,3,7,SHOTGUN,2x1,Cover-1,44,41.42,27.4,20.55,WR,9768.0,1.0,2.0
70,2022101610,2208,42489,True,False,1.0,0,1,10,SHOTGUN,2x1,Cover-1,76,31.66,27.54,20.6,WR,9783.0,2.0,1.0
71,2022101610,2744,42489,True,False,1.0,1,2,5,SHOTGUN,2x2,Quarters,75,18.06,33.54,26.67,WR,9799.0,1.0,1.0
72,2022101610,3064,42489,True,False,1.0,0,1,10,SHOTGUN,2x2,Cover-2,35,9.89,27.34,20.7,WR,9809.0,1.0,1.0
73,2022101610,3088,42489,False,False,1.0,0,2,6,SINGLEBACK,2x2,Cover-2,39,43.64,33.19,26.68,WR,9810.0,1.0,1.0
74,2022101610,3226,42489,False,False,1.0,1,4,3,SHOTGUN,3x1,Cover-1,56,14.94,28.54,21.73,WR,9815.0,1.0,1.0
75,2022101610,3497,42489,False,False,1.0,0,1,10,EMPTY,3x2,Quarters,86,10.85,32.92,26.14,WR,9823.0,1.0,1.0
76,2022101610,3542,42489,True,False,1.0,1,2,10,SHOTGUN,2x2,Cover-1,75,9.65,26.74,19.8,WR,9825.0,1.0,2.0
77,2022101610,3706,42489,True,True,1.0,0,1,10,I_FORM,2x1,Cover-2,86,17.47,32.76,26.09,WR,9830.0,1.0,1.0
78,2022101610,3793,42489,True,True,1.0,1,1,10,SHOTGUN,2x2,Cover-2,75,33.85,31.74,25.01,WR,9834.0,1.0,1.0
79,2022101610,3843,42489,True,True,1.0,1,3,2,SHOTGUN,2x2,Cover-0,67,18.05,26.9,19.8,WR,9836.0,1.0,2.0
80,2022101610,3894,42489,False,False,1.0,1,2,10,EMPTY,3x2,Quarters,56,43.04,26.92,19.91,WR,9838.0,1.0,1.0
81,2022101610,3975,42489,False,False,1.0,0,2,12,SHOTGUN,2x2,Cover-1 Double,24,14.35,26.84,19.94,WR,9841.0,1.0,2.0
82,2022103012,116,42489,True,True,1.0,0,3,4,EMPTY,3x2,Cover-3 Seam,41,22.15,30.38,23.19,WR,12934.0,1.0,1.0
83,2022103012,546,42489,False,False,1.0,0,2,1,I_FORM,2x1,Cover-0,109,10.89,32.86,26.72,WR,12951.0,2.0,0.0
84,2022103012,2951,42489,False,False,1.0,0,2,14,EMPTY,3x2,Cover-3,58,19.01,30.36,23.09,WR,13012.0,1.0,1.0
85,2022103012,3301,42489,True,True,1.0,1,2,3,SHOTGUN,2x2,Cover-3 Seam,77,38.6,30.06,23.04,WR,13025.0,1.0,1.0
86,2022110606,65,42489,True,True,1.0,1,1,10,SINGLEBACK,2x2,Cover-3,55,18.98,32.5,23.85,WR,15190.0,1.0,1.0
87,2022110606,330,42489,False,False,1.0,0,3,5,EMPTY,3x2,Cover-1,62,21.94,33.53,26.54,WR,15200.0,1.0,1.0
88,2022110606,378,42489,False,False,1.0,0,2,4,SINGLEBACK,2x2,Quarters,79,19.69,33.79,26.71,WR,15202.0,1.0,1.0
89,2022110606,423,42489,True,False,1.0,0,1,10,SINGLEBACK,2x2,Cover-3,85,16.35,33.45,26.8,WR,15204.0,1.0,2.0
90,2022110606,870,42489,False,False,1.0,0,1,10,SINGLEBACK,3x1,Cover 6-Left,35,35.52,30.63,20.65,WR,15215.0,2.0,1.0
91,2022110606,968,42489,False,False,1.0,1,2,10,SHOTGUN,2x2,Cover-3 Seam,71,15.22,27.11,19.78,WR,15218.0,1.0,1.0
92,2022110606,1193,42489,False,,1.0,0,2,6,EMPTY,3x2,Cover-3,99,19.97,30.38,22.95,WR,15226.0,1.0,1.0
93,2022110606,1241,42489,True,False,1.0,1,1,10,SHOTGUN,2x2,Cover-3,89,43.04,33.32,25.99,WR,15228.0,1.0,1.0
94,2022110606,1780,42489,False,False,1.0,0,1,10,EMPTY,4x1,Quarters,85,34.05,27.12,19.72,WR,15243.0,1.0,1.0
95,2022110606,1835,42489,False,False,1.0,0,1,10,SHOTGUN,2x2,Quarters,53,18.68,33.22,26.02,WR,15245.0,1.0,1.0
96,2022110606,3059,42489,False,False,1.0,1,2,14,EMPTY,4x1,Cover-3,64,19.5,33.04,25.89,WR,15283.0,1.0,1.0
97,2022110606,3081,42489,True,True,1.0,1,3,14,EMPTY,3x2,Quarters,64,13.8,33.02,26.2,WR,15284.0,1.0,1.0
98,2022090800,56,44985,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover 6-Left,85,18.2,32.87,26.35,WR,1837.0,1.0,2.0
99,2022090800,212,44985,False,False,1.0,0,2,9,SHOTGUN,2x2,Cover-1,44,17.48,32.45,25.65,WR,1843.0,1.0,1.0
100,2022090800,550,44985,False,False,1.0,0,2,3,SHOTGUN,2x2,Cover-3 Seam,94,18.32,32.51,25.85,WR,1854.0,1.0,1.0
101,2022090800,617,44985,True,True,1.0,1,1,10,SHOTGUN,2x1,Cover-3,74,21.53,26.68,20.3,WR,1857.0,2.0,1.0
102,2022090800,721,44985,True,False,1.0,1,2,7,SHOTGUN,2x2,Cover-3,39,46.86,32.55,25.46,WR,1860.0,1.0,1.0
103,2022090800,1030,44985,True,True,1.0,0,3,2,SHOTGUN,2x2,Cover-3,50,26.77,27.25,20.58,WR,1868.0,0.0,2.0
104,2022090800,1102,44985,True,False,1.0,0,2,6,SHOTGUN,3x1,Quarters,85,15.43,33.32,26.54,WR,1869.0,1.0,1.0
105,2022090800,2184,44985,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover-3 Seam,32,34.9,26.62,20.12,WR,1901.0,1.0,1.0
106,2022090800,2208,44985,False,False,1.0,0,2,3,SHOTGUN,3x1,Cover-3,25,15.13,32.5,25.85,WR,1902.0,1.0,1.0
107,2022090800,2934,44985,True,False,1.0,0,1,10,SHOTGUN,2x1,Cover-3 Seam,51,19.88,33.24,26.67,WR,1926.0,1.0,2.0
108,2022090800,2979,44985,True,True,1.0,0,3,4,SHOTGUN,2x2,Cover-6 Right,57,34.27,27.52,20.73,WR,1928.0,1.0,1.0
109,2022091900,69,44985,False,,1.0,0,1,10,SHOTGUN,3x1,Cover-3,85,36.23,26.69,19.86,WR,2063.0,1.0,1.0
110,2022091900,137,44985,False,False,1.0,0,2,10,SHOTGUN,2x1,Cover-2,65,35.55,30.2,23.0,WR,2066.0,2.0,1.0
111,2022091900,1687,44985,False,,1.0,0,1,10,SHOTGUN,2x2,Cover-1,97,29.97,31.06,24.27,WR,2110.0,1.0,2.0
112,2022091900,2236,44985,False,,1.0,0,3,9,SHOTGUN,2x2,Cover-3,89,17.72,33.1,26.3,WR,2119.0,1.0,1.0
113,2022091900,2849,44985,False,,1.0,0,1,10,SHOTGUN,2x2,Cover-3,44,16.88,32.72,26.07,WR,2136.0,1.0,2.0
114,2022092503,56,44985,False,False,1.0,0,1,10,EMPTY,3x2,Cover-0,35,22.19,32.92,26.77,WR,5128.0,0.0,2.0
115,2022092503,188,44985,True,True,1.0,0,1,10,SHOTGUN,2x2,Cover 6-Left,94,36.91,28.06,17.98,WR,5132.0,1.0,1.0
116,2022092503,813,44985,True,True,1.0,1,1,10,SHOTGUN,2x2,Cover-1,35,35.15,30.43,24.04,WR,5149.0,1.0,1.0
117,2022092503,837,44985,False,False,1.0,0,2,3,SHOTGUN,2x1,Cover-3,42,41.98,27.64,20.76,WR,5150.0,1.0,1.0
118,2022092503,1157,44985,True,False,1.0,1,3,8,SHOTGUN,3x1,Cover-0,18,36.52,26.94,20.84,WR,5161.0,0.0,2.0
119,2022092503,1578,44985,False,False,1.0,0,1,10,SINGLEBACK,2x2,Cover-3,55,35.63,27.14,20.32,WR,5175.0,2.0,0.0
120,2022092503,1994,44985,False,False,1.0,1,3,4,SHOTGUN,3x1,Cover-6 Right,59,21.59,32.25,25.64,WR,5188.0,1.0,1.0
121,2022092503,2984,44985,True,True,1.0,1,2,9,SHOTGUN,2x2,Cover-1,35,19.92,31.49,24.69,WR,5219.0,1.0,2.0
122,2022092503,3006,44985,False,False,1.0,0,3,9,SHOTGUN,3x1,Cover-1,35,15.4,31.63,24.56,WR,5220.0,2.0,1.0
123,2022092503,3550,44985,True,True,1.0,0,1,5,SHOTGUN,2x2,Cover-2,33,19.29,45.49,20.46,WR,5235.0,1.0,1.0
124,2022100202,100,44985,False,False,1.0,0,3,9,SHOTGUN,2x2,Cover-2,84,35.37,30.29,23.21,WR,7074.0,2.0,2.0
125,2022100202,366,44985,True,False,1.0,0,2,10,SHOTGUN,2x2,Cover-3,33,19.47,32.93,26.06,WR,7082.0,1.0,2.0
126,2022100202,835,44985,False,False,1.0,0,1,10,SHOTGUN,3x1,Cover-3,88,43.82,27.06,20.13,WR,7099.0,2.0,1.0
127,2022100202,1942,44985,False,False,1.0,0,2,10,SHOTGUN,2x2,Cover-6 Right,82,17.85,33.59,26.73,WR,7125.0,2.0,2.0
128,2022100202,1966,44985,False,False,1.0,0,1,10,SHOTGUN,3x1,Quarters,96,17.46,33.83,26.86,WR,7126.0,2.0,2.0
129,2022100202,2637,44985,True,True,1.0,0,1,10,SINGLEBACK,2x2,Quarters,30,26.11,33.46,26.96,WR,7144.0,1.0,2.0
130,2022101610,807,44985,True,True,1.0,1,1,10,SHOTGUN,2x2,Cover-2,46,34.13,27.01,20.42,WR,9740.0,1.0,1.0
131,2022101610,904,44985,True,True,1.0,0,1,13,SHOTGUN,2x2,Quarters,85,17.76,33.54,26.69,WR,9743.0,2.0,0.0
132,2022101610,1448,44985,False,False,1.0,0,2,3,SHOTGUN,3x1,Cover-0,107,36.1,26.86,20.42,WR,9760.0,2.0,0.0
133,2022101610,1470,44985,False,False,1.0,0,3,3,SHOTGUN,2x2,Cover-0,107,37.0,27.39,20.5,WR,9761.0,1.0,1.0
134,2022101610,1650,44985,False,False,1.0,0,3,7,SHOTGUN,2x1,Cover-1,44,34.73,27.4,20.55,WR,9768.0,1.0,2.0
135,2022101610,2208,44985,False,False,1.0,0,1,10,SHOTGUN,2x1,Cover-1,76,35.5,27.54,20.6,WR,9783.0,2.0,1.0
136,2022101610,2744,44985,False,False,1.0,0,2,5,SHOTGUN,2x2,Quarters,75,44.61,33.54,26.67,WR,9799.0,1.0,1.0
137,2022101610,3064,44985,False,False,1.0,1,1,10,SHOTGUN,2x2,Cover-2,35,36.2,27.34,20.7,WR,9809.0,1.0,1.0
138,2022101610,3112,44985,True,False,1.0,0,1,10,I_FORM,2x1,Cover-2,46,35.3,27.17,20.63,WR,9811.0,1.0,1.0
139,2022101610,3226,44985,True,False,1.0,0,4,3,SHOTGUN,3x1,Cover-1,56,36.05,28.54,21.73,WR,9815.0,1.0,1.0
140,2022101610,3793,44985,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover-2,75,19.92,31.74,25.01,WR,9834.0,1.0,1.0
141,2022101610,3843,44985,False,False,1.0,0,3,2,SHOTGUN,2x2,Cover-0,67,32.39,26.9,19.8,WR,9836.0,1.0,2.0
142,2022101610,3894,44985,False,False,1.0,0,2,10,EMPTY,3x2,Quarters,56,33.61,26.92,19.91,WR,9838.0,1.0,1.0
143,2022101610,3975,44985,True,True,1.0,0,2,12,SHOTGUN,2x2,Cover-1 Double,24,38.87,26.84,19.94,WR,9841.0,1.0,2.0
144,2022103012,116,44985,False,False,1.0,0,3,4,EMPTY,3x2,Cover-3 Seam,41,37.53,30.38,23.19,WR,12934.0,1.0,1.0
145,2022103012,546,44985,False,False,1.0,0,2,1,I_FORM,2x1,Cover-0,109,20.94,32.86,26.72,WR,12951.0,2.0,0.0
146,2022103012,3301,44985,False,False,1.0,0,2,3,SHOTGUN,2x2,Cover-3 Seam,77,9.55,30.06,23.04,WR,13025.0,1.0,1.0
147,2022110606,98,44985,False,False,1.0,0,1,10,SHOTGUN,2x2,Quarters,97,37.22,27.65,20.38,WR,15191.0,1.0,1.0
148,2022110606,378,44985,True,True,1.0,0,2,4,SINGLEBACK,2x2,Quarters,79,37.95,33.79,26.71,WR,15202.0,1.0,1.0
149,2022110606,968,44985,True,True,1.0,0,2,10,SHOTGUN,2x2,Cover-3 Seam,71,34.0,27.11,19.78,WR,15218.0,1.0,1.0
150,2022110606,1193,44985,False,False,1.0,0,2,6,EMPTY,3x2,Cover-3,99,15.65,30.38,22.95,WR,15226.0,1.0,1.0
151,2022110606,1241,44985,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover-3,89,18.29,33.32,25.99,WR,15228.0,1.0,1.0
152,2022110606,1315,44985,False,False,1.0,1,1,10,SHOTGUN,2x2,Cover-1,54,17.31,33.33,26.2,WR,15230.0,1.0,1.0
153,2022110606,1780,44985,True,False,1.0,0,1,10,EMPTY,4x1,Quarters,85,31.39,27.12,19.72,WR,15243.0,1.0,1.0
154,2022110606,1835,44985,True,True,1.0,0,1,10,SHOTGUN,2x2,Quarters,53,41.73,33.22,26.02,WR,15245.0,1.0,1.0
155,2022110606,2629,44985,True,True,1.0,0,1,10,I_FORM,2x1,Cover-3,62,24.16,31.58,24.63,WR,15270.0,1.0,1.0
156,2022110606,3059,44985,False,False,1.0,0,2,14,EMPTY,4x1,Cover-3,64,21.68,33.04,25.89,WR,15283.0,1.0,1.0
157,2022090800,56,47879,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover 6-Left,85,34.37,32.87,26.35,TE,1837.0,1.0,2.0
158,2022090800,212,47879,True,True,1.0,0,2,9,SHOTGUN,2x2,Cover-1,44,32.83,32.45,25.65,TE,1843.0,1.0,1.0
159,2022090800,550,47879,False,False,1.0,0,2,3,SHOTGUN,2x2,Cover-3 Seam,94,34.35,32.51,25.85,TE,1854.0,1.0,1.0
160,2022090800,569,47879,False,False,1.0,0,3,4,SHOTGUN,2x2,Cover-3,95,34.61,32.57,25.86,TE,1855.0,1.0,1.0
161,2022090800,617,47879,False,False,1.0,0,1,10,SHOTGUN,2x1,Cover-3,74,25.55,26.68,20.3,TE,1857.0,2.0,1.0
162,2022090800,1030,47879,False,False,1.0,0,3,2,SHOTGUN,2x2,Cover-3,50,18.16,27.25,20.58,TE,1868.0,0.0,2.0
163,2022090800,1102,47879,True,False,1.0,0,2,6,SHOTGUN,3x1,Quarters,85,37.98,33.32,26.54,TE,1869.0,1.0,1.0
164,2022090800,1504,47879,False,False,1.0,0,2,8,SHOTGUN,2x2,Cover-3,37,18.05,30.22,23.65,TE,1883.0,1.0,1.0
165,2022090800,2527,47879,True,True,1.0,0,2,10,SHOTGUN,2x2,Cover-3 Seam,88,18.72,26.85,20.2,TE,1912.0,1.0,1.0
166,2022090800,2688,47879,False,False,1.0,0,3,7,SHOTGUN,2x2,Cover-3,57,14.14,27.04,20.59,TE,1917.0,1.0,1.0
167,2022090800,2733,47879,False,False,1.0,0,2,4,SHOTGUN,3x1,Red Zone,106,45.7,27.33,20.3,TE,1919.0,1.0,1.0
168,2022090800,2934,47879,True,False,1.0,0,1,10,SHOTGUN,2x1,Cover-3 Seam,51,32.21,33.24,26.67,TE,1926.0,1.0,2.0
169,2022090800,2979,47879,False,False,1.0,0,3,4,SHOTGUN,2x2,Cover-6 Right,57,16.26,27.52,20.73,TE,1928.0,1.0,1.0
170,2022091900,69,47879,False,,1.0,0,1,10,SHOTGUN,3x1,Cover-3,85,15.46,26.69,19.86,TE,2063.0,1.0,1.0
171,2022091900,786,47879,False,False,1.0,0,2,10,I_FORM,2x1,Cover-2,69,18.38,26.84,20.12,TE,2085.0,2.0,1.0
172,2022091900,877,47879,True,False,1.0,0,2,10,SHOTGUN,2x2,Quarters,50,34.63,33.13,26.25,TE,2087.0,1.0,1.0
173,2022091900,2236,47879,False,,1.0,0,3,9,SHOTGUN,2x2,Cover-3,89,36.75,33.1,26.3,TE,2119.0,1.0,1.0
174,2022091900,2289,47879,False,,1.0,0,2,1,SHOTGUN,2x2,Cover-2,64,18.89,26.93,20.48,TE,2121.0,2.0,1.0
175,2022092503,80,47879,True,True,1.0,0,1,10,I_FORM,2x1,Cover-3,63,29.59,27.7,20.71,TE,5129.0,1.0,1.0
176,2022092503,164,47879,False,False,1.0,0,2,12,SHOTGUN,2x2,Cover-3,80,34.89,36.48,26.83,TE,5131.0,0.0,2.0
177,2022092503,188,47879,False,False,1.0,0,1,10,SHOTGUN,2x2,Cover 6-Left,94,19.65,28.06,17.98,TE,5132.0,1.0,1.0
178,2022092503,837,47879,False,False,1.0,1,2,3,SHOTGUN,2x1,Cover-3,42,26.58,27.64,20.76,TE,5150.0,1.0,1.0
179,2022092503,994,47879,False,False,1.0,0,3,9,SHOTGUN,2x2,Cover-0,73,39.4,33.46,26.72,TE,5156.0,3.0,0.0
180,2022092503,1111,47879,False,False,1.0,0,1,9,I_FORM,2x1,Red Zone,19,27.7,26.58,20.53,TE,5159.0,1.0,1.0
181,2022092503,1482,47879,False,False,1.0,0,1,10,SHOTGUN,3x1,Cover-3,85,19.32,29.93,20.81,TE,5171.0,2.0,0.0
182,2022092503,1578,47879,False,False,1.0,0,1,10,SINGLEBACK,2x2,Cover-3,55,18.67,27.14,20.32,TE,5175.0,2.0,0.0
